,l,hex,y,rgb,r,g,b,hsv,hue,sat,val
90,0.74956427,#DBBCA2,2,"(219, 188, 162)",0.8588235294117647,0.7372549019607844,0.6352941176470588,"(0.07602339181286556, 0.2602739726027397, 0.8588235294117647)",0.07602339181286556,0.2602739726027397,0.8588235294117647
91,0.721960784,#DCB393,3,"(220, 179, 147)",0.8627450980392157,0.7019607843137254,0.5764705882352941,"(0.07305936073059359, 0.3318181818181819, 0.8627450980392157)",0.07305936073059359,0.3318181818181819,0.8627450980392157
92,0.445517429,#A16241,1,"(161, 98, 65)",0.6313725490196078,0.3843137254901961,0.2549019607843137,"(0.057291666666666685, 0.5962732919254659, 0.6313725490196078)",0.057291666666666685,0.5962732919254659,0.6313725490196078
93,0.788601405,#DDCBB4,2,"(221, 203, 180)",0.8666666666666667,0.796078431372549,0.7058823529411765,"(0.09349593495934949, 0.1855203619909502, 0.8666666666666667)",0.09349593495934949,0.1855203619909502,0.8666666666666667
94,0.732127295,#E0B694,3,"(224, 182, 148)",0.8784313725490196,0.7137254901960784,0.5803921568627451,"(0.07456140350877193, 0.33928571428571425, 0.8784313725490196)",0.07456140350877193,0.33928571428571425,0.8784313725490196
95,0.691140784,#D2A88D,3,"(210, 168, 141)",0.8235294117647058,0.6588235294117647,0.5529411764705883,"(0.06521739130434782, 0.3285714285714285, 0.8235294117647058)",0.06521739130434782,0.3285714285714285,0.8235294117647058
96,0.702280809,#CEAF96,2,"(206, 175, 150)",0.807843137254902,0.6862745098039216,0.5882352941176471,"(0.0744047619047619, 0.27184466019417475, 0.807843137254902)",0.0744047619047619,0.27184466019417475,0.807843137254902
97,0.617090487,#C89371,1,"(200, 147, 113)",0.7843137254901961,0.5764705882352941,0.44313725490196076,"(0.06513409961685822, 0.435, 0.7843137254901961)",0.06513409961685822,0.435,0.7843137254901961
98,0.772096531,#D4C0B5,4,"(212, 192, 181)",0.8313725490196079,0.7529411764705882,0.7098039215686275,"(0.059139784946236486, 0.14622641509433962, 0.8313725490196079)",0.059139784946236486,0.14622641509433962,0.8313725490196079
99,0.754901961,#D6BAAA,3,"(214, 186, 170)",0.8392156862745098,0.7294117647058823,0.6666666666666666,"(0.06060606060606059, 0.20560747663551407, 0.8392156862745098)",0.06060606060606059,0.20560747663551407,0.8392156862745098
100,0.673669468,#C8A38F,4,"(200, 163, 143)",0.7843137254901961,0.6392156862745098,0.5607843137254902,"(0.05847953216374265, 0.285, 0.7843137254901961)",0.05847953216374265,0.285,0.7843137254901961
101,0.631381264,#C3977E,1,"(195, 151, 126)",0.7647058823529411,0.592156862745098,0.49411764705882355,"(0.0603864734299517, 0.35384615384615375, 0.7647058823529411)",0.0603864734299517,0.35384615384615375,0.7647058823529411
102,0.686428624,#CBA991,1,"(203, 169, 145)",0.796078431372549,0.6627450980392157,0.5686274509803921,"(0.06896551724137932, 0.2857142857142857, 0.796078431372549)",0.06896551724137932,0.2857142857142857,0.796078431372549
103,0.617069259,#C78E72,1,"(199, 142, 114)",0.7803921568627451,0.5568627450980392,0.4470588235294118,"(0.05490196078431373, 0.42713567839195976, 0.7803921568627451)",0.05490196078431373,0.42713567839195976,0.7803921568627451
104,0.757329599,#D5BBAC,2,"(213, 187, 172)",0.8352941176470589,0.7333333333333333,0.6745098039215687,"(0.06097560975609747, 0.1924882629107981, 0.8352941176470589)",0.06097560975609747,0.1924882629107981,0.8352941176470589
105,0.737874183,#D5B2A2,3,"(213, 178, 162)",0.8352941176470589,0.6980392156862745,0.6352941176470588,"(0.052287581699346386, 0.23943661971830993, 0.8352941176470589)",0.052287581699346386,0.23943661971830993,0.8352941176470589
